Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,35.21,35.99,0.00095
40,40.74,41.89,0.00095
40,37.42,37.10,0.00097
40,35.68,36.18,0.00098
50,38.92,39.22,0.00092
40,35.72,36.68,0.00093
50,37.56,37.51,0.00098
50,39.50,39.43,0.00095
30,39.19,38.60,0.00090
20,33.64,34.10,0.00098
30,40.87,41.13,0.00097
20,32.88,33.17,0.00098
20,29.55,30.65,0.00095
20,35.76,35.73,0.00098
30,37.61,37.21,0.00098
40,37.59,37.74,0.00097
20,34.39,34.45,0.00093
40,37.13,38.06,0.00097
10,31.44,31.89,0.00097
10,25.63,29.65,0.00095
50,39.09,39.06,0.00098
30,39.80,39.74,0.00098
50,34.81,34.64,0.00092
10,30.99,32.25,0.00093
10,31.83,33.29,0.00097
10,32.63,33.84,0.00095
30,36.55,35.84,0.00095
10,22.96,24.02,0.00095
40,37.76,38.46,0.00098
20,27.77,29.65,0.00097
30,36.46,37.17,0.00095
40,39.01,38.95,0.00088
50,39.59,39.19,0.00090
30,36.92,37.05,0.00098
30,35.33,35.11,0.00078
20,31.91,32.33,0.00098
50,37.57,37.59,0.00097
20,40.91,43.64,0.00095
50,41.70,42.06,0.00087
20,31.68,32.54,0.00092
10,36.04,36.90,0.00098
50,34.93,34.75,0.00088
40,42.02,41.66,0.00098
40,38.18,38.74,0.00098
40,33.83,33.89,0.00097
30,34.36,33.09,0.00097
10,22.55,27.89,0.00097
30,32.82,33.91,0.00098
30,31.47,32.71,0.00092
40,34.65,34.75,0.00090
10,36.26,37.26,0.00098
50,41.32,41.42,0.00097
10,22.71,23.38,0.00098
20,35.08,36.96,0.00097
10,23.86,24.31,0.00098
20,33.09,36.15,0.00097
50,35.48,36.66,0.00093
10,29.09,29.97,0.00093
20,27.79,30.79,0.00098
50,43.65,43.64,0.00507
