Number of labels,Accuracy
10,10.00
40,10.60
20,10.19
10,10.41
30,10.31
10,10.01
50,10.41
40,28.87
10,10.14
20,10.89
30,10.21
30,10.42
50,11.61
20,10.17
30,11.79
50,10.98
50,29.54
40,13.56
20,10.20
40,10.55
20,11.05
50,13.73
10,10.03
30,10.93
40,12.08
30,10.28
50,18.17
10,10.05
40,23.91
10,10.01
10,10.14
20,10.17
50,12.07
40,19.49
20,10.28
20,11.36
30,10.76
40,16.49
30,10.21
20,10.81
40,11.35
10,10.11
50,18.06
10,10.13
20,10.18
30,10.39
50,13.80
20,10.09
50,21.35
40,18.53
10,10.13
30,10.19
50,19.15
40,10.40
10,10.30
10,10.00
30,10.28
30,10.63
40,13.90
40,13.16
50,11.13
20,10.09
10,11.79
50,10.63
20,10.13
20,10.12
40,11.27
30,11.55
20,10.04
30,10.71
10,10.01
40,10.40
50,16.63
30,10.13
40,16.57
10,10.00
30,15.82
50,10.43
30,15.62
20,10.06
50,17.73
20,10.15
20,10.17
10,10.14
50,10.61
20,10.11
40,11.22
20,10.46
10,10.00
10,10.07
50,10.45
50,10.31
30,15.03
40,10.13
40,10.59
40,10.22
10,10.05
10,10.09
30,10.26
30,10.36
30,10.28
20,10.23
10,10.06
50,10.15
30,10.93
10,10.04
20,15.96
50,11.44
40,11.98
40,12.84
50,10.82
20,10.38
20,10.70
40,18.84
30,11.01
50,13.28
10,10.07
10,10.03
30,10.40
20,10.28
40,10.23
10,10.11
50,10.19
50,11.19
30,10.76
40,10.75
40,10.43
30,18.66
30,10.12
10,13.03
20,10.08
30,10.23
10,10.03
20,10.46
30,11.04
50,25.73
20,16.44
50,17.18
40,23.55
40,10.25
20,10.04
50,10.43
10,10.03
10,9.78
50,10.62
10,10.00
40,12.39
30,10.14
50,10.92
20,10.40
20,21.06
10,10.04
40,10.30
30,11.62
40,12.35
50,12.73
10,10.03
40,10.37
50,11.16
20,15.14
30,10.33
30,10.19
50,12.65
40,10.36
20,10.07
30,10.95
10,11.04
30,10.57
10,10.00
10,10.04
20,10.09
50,26.74
40,10.24
50,13.36
40,10.39
20,10.19
10,10.09
20,10.25
10,10.09
30,10.31
20,11.01
40,11.31
40,10.81
50,12.73
40,11.24
30,11.48
50,10.27
20,10.05
10,10.83
50,14.13
30,10.17
20,10.08
10,10.29
40,10.27
30,10.20
10,10.30
50,14.28
20,10.13
30,10.42
20,10.24
20,10.07
20,10.20
10,19.56
50,14.17
50,11.61
30,10.31
40,13.58
40,10.45
40,12.10
30,10.67
20,10.09
30,10.49
10,10.03
40,10.75
50,11.46
10,10.03
40,10.56
10,10.02
50,11.13
50,18.68
30,10.10
50,10.67
20,10.18
10,10.03
40,10.92
20,10.21
20,10.22
30,21.82
40,26.12
10,10.00
50,10.45
40,11.82
50,10.28
10,10.02
30,11.19
30,10.18
20,18.30
40,15.97
30,22.42
20,10.08
10,10.06
50,11.74
30,14.87
20,10.11
40,10.37
20,10.09
10,10.01
10,11.30
40,10.63
40,11.41
50,10.59
10,10.05
20,10.26
50,10.65
30,10.25
20,10.16
30,13.90
50,18.73
10,10.02
30,10.58
50,18.79
40,11.62
40,17.20
20,10.07
30,12.36
30,10.49
50,11.35
50,16.60
10,10.06
40,10.40
10,10.08
20,10.03
30,24.11
50,17.82
20,10.41
20,10.38
10,10.02
40,19.52
30,10.53
10,10.02
40,10.58
50,17.93
10,10.06
20,11.23
50,14.26
40,12.84
30,10.16
20,10.36
30,16.65
30,10.18
40,10.20
50,26.96
10,10.13
10,10.03
50,11.24
20,10.64
40,10.61
10,11.88
20,10.19
50,11.28
30,11.06
10,10.04
50,10.90
30,10.19
40,13.60
40,18.97
20,10.20
40,13.70
30,10.32
20,10.21
50,14.78
30,10.47
30,10.19
10,10.06
10,10.06
40,11.09
50,20.65
40,10.28
20,12.62
10,10.07
50,14.77
20,10.29
10,9.98
40,10.68
10,10.01
30,13.37
30,10.14
20,10.87
20,16.74
30,12.49
10,10.05
40,10.70
50,10.30
20,10.24
50,33.95
50,11.82
40,17.82
10,10.08
40,10.52
10,10.15
30,10.54
50,16.01
20,10.15
50,10.74
10,10.09
30,10.20
40,10.20
30,11.76
20,10.13
50,10.31
20,10.39
20,10.50
40,10.76
40,17.71
10,10.03
50,15.62
10,10.19
30,10.16
40,10.83
20,10.15
10,10.06
40,10.33
30,10.12
50,21.47
20,10.20
30,10.30
40,17.86
50,10.63
30,18.11
50,16.21
40,10.50
10,10.08
20,10.20
20,20.33
50,11.22
30,15.89
10,10.18
40,10.16
10,10.02
20,10.14
50,12.67
20,10.59
30,10.38
30,11.85
50,10.45
10,10.90
50,10.47
10,10.01
30,10.40
10,10.18
40,18.35
20,10.21
40,10.35
50,28.20
10,10.55
40,18.31
30,10.49
10,10.10
50,10.28
40,10.73
20,11.51
20,10.19
30,10.21
50,11.12
30,10.21
30,12.63
40,11.13
40,10.51
20,12.41
30,12.52
50,12.68
10,10.15
50,10.87
20,11.09
30,10.38
20,10.53
10,10.03
40,11.27
20,11.11
10,10.00
20,17.43
10,10.03
10,10.06
40,10.25
50,10.27
40,15.97
20,12.19
50,10.36
30,15.85
50,11.88
10,10.33
30,10.20
20,10.55
30,10.13
20,11.73
40,10.32
20,11.31
10,10.01
30,10.22
40,10.46
50,16.30
30,10.33
50,10.46
40,10.64
10,10.06
10,10.05
40,10.47
30,10.24
50,23.15
20,10.16
40,10.64
30,10.05
30,10.27
40,12.28
20,10.50
50,10.46
10,10.05
50,21.23
40,10.28
50,10.57
20,10.05
10,10.06
10,10.04
50,10.68
20,10.53
50,10.83
10,18.74
10,10.02
20,10.52
40,10.97
40,10.70
30,13.60
30,10.99
40,11.52
20,10.66
30,10.52
50,12.68
50,10.37
10,10.00
30,10.86
40,10.89
40,11.79
30,10.94
40,20.28
10,11.61
50,24.87
20,10.41
20,10.45
50,11.01
20,10.49
10,10.24
30,10.12
30,10.16
10,10.06
40,21.77
50,12.67
20,10.10
50,17.67
40,11.57
30,10.27
