Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,32.83,37.98,0.00093
30,38.71,50.63,0.00098
30,40.34,49.02,0.00097
40,42.08,49.56,0.00098
10,27.01,43.08,0.00097
10,15.50,32.82,0.00097
50,39.96,47.17,0.00098
50,42.01,49.78,0.00098
10,25.25,47.20,0.00097
30,45.62,52.60,0.00095
50,45.15,52.36,0.00097
20,41.73,51.32,0.00097
40,45.44,56.00,0.00098
20,44.85,50.36,0.00095
20,45.02,51.91,0.00098
50,52.99,57.64,0.00095
40,37.25,51.85,0.00097
40,42.11,49.30,0.00095
30,38.68,50.00,0.00098
20,40.83,48.31,0.00098
20,42.70,52.69,0.00098
10,29.69,42.12,0.00097
20,25.10,36.52,0.00095
10,26.83,29.40,0.00098
40,45.37,49.56,0.00095
10,28.33,41.65,0.00098
20,40.45,54.20,0.00098
10,26.60,34.59,0.00095
40,36.25,50.90,0.00098
50,43.74,51.23,0.00097
50,41.39,49.00,0.00097
30,50.24,53.11,0.00097
30,37.70,48.16,0.00098
30,34.90,48.67,0.00098
40,46.60,54.51,0.00097
50,41.25,47.51,0.00097
20,41.80,44.19,0.00098
30,40.47,47.72,0.00097
50,45.53,52.40,0.00097
40,47.84,52.85,0.00098
10,32.91,32.23,0.00098
20,33.79,35.83,0.00098
30,33.05,48.89,0.00097
30,37.46,49.98,0.00093
40,47.62,55.90,0.00097
50,48.94,56.63,0.00097
20,41.12,46.04,0.00098
10,29.63,26.27,0.00098
10,47.16,48.20,0.00098
20,38.09,48.63,0.00098
40,38.55,52.73,0.00097
50,39.96,48.65,0.00098
10,30.53,36.36,0.00098
30,42.39,48.24,0.00098
20,34.23,45.19,0.00095
40,41.34,48.86,0.00098
40,35.09,44.77,0.00098
30,32.36,45.63,0.00098
50,38.62,50.98,0.00097
50,47.29,52.60,0.00098
20,36.18,51.88,0.00098
10,22.19,45.20,0.00095
30,37.06,47.44,0.00098
10,41.09,40.16,0.00098
30,41.46,49.87,0.00095
40,44.14,44.82,0.00098
20,33.12,41.64,0.00098
50,39.81,55.50,0.00097
40,45.50,53.78,0.00097
10,34.12,39.49,0.00098
20,34.98,44.78,0.00097
50,43.77,49.57,0.00095
50,41.44,48.15,0.00098
30,47.62,49.26,0.00097
10,31.80,52.11,0.00097
40,41.90,48.98,0.00098
30,26.54,44.09,0.00098
20,35.19,51.35,0.00098
40,39.59,50.16,0.00093
50,40.11,50.63,0.00095
10,20.46,37.84,0.00093
20,41.00,50.69,0.00098
30,35.33,43.54,0.00095
40,38.20,48.80,0.00098
20,43.33,47.21,0.00095
30,42.63,51.91,0.00098
10,39.25,45.86,0.00098
50,46.39,54.23,0.00098
50,52.02,60.10,0.00097
10,30.16,40.27,0.00095
40,42.79,50.06,0.00097
20,30.91,38.36,0.00095
50,41.13,48.83,0.00097
20,33.07,39.94,0.00092
30,41.64,53.61,0.00097
40,36.85,48.46,0.00097
10,34.77,47.00,0.00098
30,42.66,44.63,0.00098
40,41.80,53.33,0.00098
50,41.85,50.32,0.00098
10,33.51,39.59,0.00098
30,47.30,54.61,0.00098
20,30.43,38.74,0.00098
20,39.81,45.37,0.00098
50,44.77,51.90,0.00098
40,45.27,51.19,0.00098
30,36.96,44.25,0.00098
10,23.65,45.30,0.00097
50,48.43,52.41,0.00097
20,37.49,52.64,0.00097
40,40.46,50.84,0.00097
10,35.14,46.10,0.00097
20,31.26,44.52,0.00095
30,35.82,46.44,0.00098
40,45.81,51.03,0.00097
10,33.01,34.42,0.00093
50,45.73,49.01,0.00095
30,36.97,46.00,0.00097
40,50.02,51.95,0.00098
20,34.65,39.41,0.00098
10,23.11,33.34,0.00090
50,50.47,57.11,0.00098
30,41.91,50.49,0.00098
20,29.09,43.15,0.00095
50,39.25,49.24,0.00098
40,43.10,50.85,0.00097
50,40.02,49.14,0.00097
40,37.12,42.81,0.00098
10,34.13,41.04,0.00097
10,33.94,40.69,0.00097
30,49.10,48.57,0.00097
30,37.81,52.57,0.00093
30,39.09,46.91,0.00098
20,37.50,49.37,0.00098
20,24.45,35.50,0.00088
40,46.40,48.70,0.00098
40,49.91,55.40,0.00092
50,44.77,54.46,0.00098
10,22.46,31.64,0.00098
10,25.23,35.04,0.00097
50,44.10,52.37,0.00098
50,45.75,51.04,0.00098
40,41.40,52.12,0.00097
10,26.56,32.63,0.00098
20,29.88,34.85,0.00095
30,38.76,44.83,0.00097
40,42.91,56.32,0.00095
30,35.24,47.08,0.00098
20,34.29,38.57,0.00097
10,32.07,35.57,0.00097
40,48.72,55.11,0.00095
50,46.42,50.63,0.00098
30,29.77,41.50,0.00098
20,36.81,45.27,0.00098
40,30.53,37.27,0.00098
50,44.18,52.71,0.00098
20,38.06,46.67,0.00098
30,37.39,45.54,0.00097
10,29.43,46.56,0.00098
20,31.97,36.04,0.00093
50,43.80,53.65,0.00097
10,34.78,39.44,0.00087
30,36.53,43.00,0.00098
30,38.81,46.48,0.00098
40,32.66,44.07,0.00098
50,44.50,51.09,0.00098
20,26.85,35.15,0.00098
40,37.03,49.19,0.00098
10,26.76,38.34,0.00098
50,45.24,53.96,0.00097
10,18.21,29.53,0.00098
30,32.71,47.01,0.00098
20,31.60,37.52,0.00098
40,47.07,50.67,0.00095
20,25.15,43.11,0.00093
50,41.00,53.38,0.00098
40,43.52,51.65,0.00098
10,25.34,37.55,0.00098
30,36.32,47.92,0.00098
20,42.02,45.64,0.00097
50,53.29,52.35,0.00095
30,45.46,52.28,0.00098
10,35.21,49.51,0.00098
10,29.42,41.15,0.00095
20,35.46,41.02,0.00097
40,41.58,48.78,0.00098
50,41.97,51.27,0.00098
30,36.05,43.56,0.00097
40,40.97,51.96,0.00097
10,26.94,33.07,0.00090
20,43.26,54.01,0.00098
30,39.82,46.77,0.00098
50,47.14,53.23,0.00097
40,44.68,49.73,0.00098
30,44.47,56.87,0.00098
10,35.62,35.98,0.00098
50,41.73,56.19,0.00098
20,35.70,45.73,0.00097
50,41.32,41.59,0.00098
40,37.72,54.91,0.00097
10,26.48,38.13,0.00098
30,42.10,50.18,0.00098
20,42.06,48.71,0.00098
10,28.12,40.23,0.00097
50,43.31,45.93,0.00098
40,40.65,51.88,0.00098
30,44.40,52.58,0.00097
20,19.91,30.74,0.00097
10,31.90,37.09,0.00097
50,53.65,56.20,0.00098
40,43.18,51.46,0.00098
20,33.79,44.33,0.00097
30,42.00,52.47,0.00098
10,27.00,35.74,0.00095
40,47.50,51.57,0.00098
50,41.37,53.48,0.00097
20,36.24,44.38,0.00098
40,50.81,53.20,0.00098
30,37.27,53.59,0.00093
10,31.18,44.89,0.00093
50,44.02,46.77,0.00097
20,30.46,44.38,0.00097
30,48.29,54.13,0.00098
50,44.93,55.85,0.00098
10,22.67,30.40,0.00093
40,46.75,56.87,0.00098
40,42.73,52.59,0.00098
30,44.24,47.92,0.00098
20,36.28,43.98,0.00098
10,27.22,39.79,0.00097
30,53.10,55.34,0.00098
20,41.14,44.29,0.00098
50,43.80,52.69,0.00093
50,42.90,45.78,0.00098
10,24.32,33.56,0.00097
40,48.65,53.44,0.00095
40,43.84,51.51,0.00097
30,40.38,47.42,0.00098
50,42.89,44.81,0.00098
20,41.55,48.14,0.00097
20,30.43,35.25,0.00093
10,26.78,39.38,0.00097
30,33.80,45.51,0.00098
40,43.41,52.28,0.00098
50,47.20,52.19,0.00095
10,34.10,39.84,0.00098
40,46.48,50.98,0.00097
20,35.24,41.83,0.00098
20,36.12,50.86,0.00097
30,34.47,49.06,0.00098
40,49.55,54.41,0.00098
10,44.01,47.13,0.00098
50,46.42,54.10,0.00098
10,29.48,44.00,0.00097
30,47.85,55.58,0.00098
20,35.73,37.83,0.00098
50,41.02,47.84,0.00097
40,47.62,54.73,0.00097
30,44.63,53.10,0.00098
50,42.76,51.33,0.00098
20,44.69,49.43,0.00098
10,21.87,30.40,0.00097
50,42.50,47.93,0.00098
30,38.52,46.48,0.00098
10,25.23,38.09,0.00098
40,43.22,45.76,0.00098
30,35.40,46.07,0.00093
20,42.34,47.04,0.00097
40,41.24,50.46,0.00092
50,47.51,56.26,0.00098
10,31.56,43.91,0.00092
20,41.42,46.08,0.00095
20,23.14,42.90,0.00095
30,43.05,52.52,0.00097
10,22.55,39.38,0.00098
40,45.96,51.29,0.00097
50,47.47,54.86,0.00097
30,45.94,55.58,0.00098
40,42.51,49.64,0.00097
50,42.83,52.94,0.00097
30,32.88,43.51,0.00097
10,31.12,42.03,0.00092
20,41.90,50.37,0.00097
20,35.22,44.34,0.00097
30,40.88,43.12,0.00095
40,45.60,56.68,0.00097
10,37.18,46.68,0.00098
40,39.34,46.15,0.00095
50,50.98,56.67,0.00097
10,42.91,44.56,0.00090
20,38.87,43.50,0.00098
50,49.65,51.54,0.00097
40,40.03,47.45,0.00097
50,39.73,46.39,0.00097
30,39.91,51.10,0.00093
20,36.88,48.23,0.00095
10,29.99,46.97,0.00095
30,43.24,53.05,0.00097
50,43.00,49.60,0.00095
40,51.95,55.32,0.00098
10,43.21,48.26,0.00093
10,27.54,36.36,0.00093
30,35.91,46.27,0.00098
20,36.12,50.55,0.00097
20,42.39,50.22,0.00098
40,38.63,52.23,0.00098
40,43.24,50.19,0.00095
30,38.15,38.70,0.00098
50,42.95,50.96,0.00095
50,39.89,49.40,0.00098
10,23.49,36.14,0.00097
20,38.48,40.45,0.00097
30,43.83,49.98,0.00097
50,41.33,53.78,0.00098
10,26.63,42.84,0.00098
30,39.09,47.93,0.00097
50,42.23,51.40,0.00098
40,44.99,48.10,0.00095
20,36.98,52.05,0.00098
40,43.25,58.06,0.00097
10,27.45,38.32,0.00098
20,41.03,51.55,0.00098
30,33.99,47.73,0.00097
10,33.61,26.78,0.00098
30,35.98,46.43,0.00095
40,46.84,53.60,0.00097
50,43.51,57.18,0.00098
10,33.11,35.09,0.00097
50,42.79,50.29,0.00098
40,42.04,53.41,0.00098
20,28.47,53.75,0.00098
20,45.72,49.88,0.00098
20,32.53,42.63,0.00098
50,47.38,51.73,0.00090
50,33.27,45.29,0.00098
30,46.25,50.04,0.00098
40,36.90,48.49,0.00095
40,48.20,57.45,0.00095
30,42.26,51.14,0.00092
10,28.73,33.22,0.00098
10,25.78,44.05,0.00098
20,39.98,42.79,0.00097
20,24.12,39.73,0.00098
40,46.87,52.70,0.00095
10,31.90,41.04,0.00097
30,26.15,39.66,0.00098
30,46.13,48.79,0.00098
50,44.14,53.11,0.00097
50,45.18,50.07,0.00097
10,30.99,37.44,0.00098
30,42.74,49.86,0.00098
40,41.05,54.72,0.00095
30,36.23,47.75,0.00098
10,29.81,42.92,0.00098
20,31.42,39.51,0.00095
20,34.22,46.65,0.00097
10,23.98,33.53,0.00095
50,46.17,50.10,0.00097
40,44.23,51.48,0.00098
50,41.34,46.84,0.00090
20,31.85,41.28,0.00093
40,35.70,51.08,0.00098
40,38.16,51.47,0.00098
30,43.67,52.34,0.00098
10,34.46,34.55,0.00097
20,27.02,40.54,0.00097
50,52.24,54.40,0.00095
50,41.68,51.22,0.00097
30,44.38,49.52,0.00098
40,45.57,55.15,0.00098
10,35.20,45.57,0.00097
20,43.15,53.34,0.00098
30,34.58,47.15,0.00098
40,37.76,53.99,0.00098
20,32.73,48.37,0.00095
10,22.32,33.83,0.00098
40,38.05,43.88,0.00095
50,41.41,49.76,0.00098
10,28.03,38.44,0.00098
50,42.94,51.67,0.00097
30,34.82,52.62,0.00097
20,37.57,53.90,0.00098
30,40.61,53.04,0.00095
10,28.22,44.32,0.00095
50,41.80,53.65,0.00097
30,31.68,45.27,0.00098
20,32.24,43.66,0.00098
40,52.27,58.07,0.00098
40,41.88,52.93,0.00097
50,38.87,48.52,0.00098
10,34.93,37.74,0.00098
30,42.69,45.31,0.00092
20,43.01,48.06,0.00098
50,32.78,36.91,0.00097
10,30.82,38.99,0.00093
20,34.82,43.35,0.00097
40,40.01,52.56,0.00093
40,32.45,48.31,0.00097
30,36.79,48.61,0.00098
50,43.14,46.98,0.00097
30,37.15,44.13,0.00098
20,44.62,52.20,0.00097
40,40.91,56.75,0.00097
50,46.00,49.46,0.00098
10,33.74,51.32,0.00097
10,27.70,50.03,0.00098
30,32.52,44.01,0.00098
40,42.58,45.66,0.00098
20,28.78,40.18,0.00097
10,32.98,41.10,0.00098
20,35.41,45.47,0.00098
50,48.48,52.35,0.00095
50,42.28,48.29,0.00098
10,33.91,49.34,0.00097
40,41.08,45.04,0.00092
30,43.22,51.55,0.00098
10,24.81,36.69,0.00098
30,44.00,53.69,0.00095
20,40.69,46.88,0.00097
50,43.13,50.74,0.00097
30,47.79,51.82,0.00095
40,36.35,52.55,0.00098
20,40.70,49.99,0.00098
50,46.56,54.87,0.00098
40,35.21,45.74,0.00093
10,26.98,44.44,0.00098
40,44.24,48.68,0.00098
20,43.15,50.80,0.00098
10,31.22,42.41,0.00092
30,35.44,49.46,0.00098
20,34.34,46.74,0.00097
30,45.74,50.06,0.00097
50,39.73,51.82,0.00095
40,46.50,51.91,0.00093
50,51.96,57.10,0.00098
10,40.60,38.86,0.00097
30,27.64,35.67,0.00097
20,38.84,46.89,0.00098
40,49.05,50.56,0.00097
50,35.67,47.23,0.00098
20,36.08,39.00,0.00095
30,30.78,41.63,0.00098
50,41.92,50.35,0.00097
40,32.11,46.10,0.00098
10,26.93,40.66,0.00098
10,23.33,35.38,0.00097
10,32.58,36.63,0.00098
20,30.77,44.42,0.00098
50,47.23,53.54,0.00098
40,42.10,49.67,0.00098
20,31.46,42.54,0.00095
30,36.88,47.62,0.00097
30,43.28,47.97,0.00087
40,42.28,49.37,0.00095
20,27.39,33.97,0.00095
50,47.19,57.09,0.00098
30,34.45,48.96,0.00097
50,40.69,51.60,0.00097
10,25.99,40.35,0.00097
40,38.47,51.82,0.00097
20,37.50,37.55,0.00097
10,28.06,47.21,0.00098
50,41.83,53.99,0.00098
30,38.13,50.08,0.00098
40,38.11,47.50,0.00097
10,24.77,29.68,0.00098
20,36.19,46.36,0.00093
10,27.11,44.80,0.00098
50,47.62,54.42,0.00098
40,40.16,45.06,0.00098
30,45.41,54.34,0.00098
20,38.36,51.65,0.00098
30,38.53,49.91,0.00098
40,39.04,46.09,0.00097
20,46.02,46.94,0.00095
50,52.62,56.63,0.00098
10,34.72,52.16,0.00098
30,39.14,47.40,0.00098
40,42.20,48.68,0.00098
10,32.88,39.92,0.00098
20,31.73,49.52,0.00097
50,44.37,54.32,0.00097
30,39.91,45.81,0.00097
10,40.61,42.85,0.00098
10,32.00,36.01,0.00098
50,42.47,52.37,0.00098
30,44.59,46.64,0.00095
40,44.33,53.89,0.00098
40,47.67,53.67,0.00098
50,50.90,53.42,0.00098
20,32.08,46.44,0.00098
20,44.30,48.03,0.00098
40,37.38,54.17,0.00095
30,48.70,55.39,0.00098
50,49.59,52.58,0.00095
20,27.50,28.76,0.00098
40,39.12,47.14,0.00098
30,36.63,42.29,0.00098
10,34.29,45.42,0.00097
50,44.43,54.35,0.00095
