Number of labels,Accuracy
40,52.35
20,46.38
20,44.83
50,51.45
50,49.12
50,52.22
50,57.67
20,47.59
10,39.78
10,52.23
40,52.12
10,40.77
30,50.79
30,52.40
10,30.20
20,45.04
30,51.87
40,52.36
30,54.04
40,47.61
10,46.35
10,30.56
50,56.07
20,35.96
20,51.50
40,51.15
50,50.33
10,38.05
40,51.84
30,52.47
40,54.67
20,54.22
30,48.00
30,49.17
10,46.11
10,28.33
20,42.91
50,53.91
10,47.28
30,49.12
20,46.97
50,53.32
40,51.58
10,28.34
20,41.60
10,36.73
40,54.33
30,48.23
40,49.36
30,47.99
20,47.71
40,55.79
50,56.75
50,48.62
20,49.79
50,57.07
40,46.45
10,40.53
20,52.11
30,44.55
50,51.45
40,48.36
30,48.62
40,51.35
30,48.15
50,50.01
10,39.48
20,42.39
40,49.06
10,40.16
50,47.84
10,43.76
50,48.37
30,50.95
20,49.96
20,48.90
30,47.18
30,52.12
30,44.23
40,52.65
20,47.85
50,47.80
10,36.52
10,42.62
50,56.15
40,49.47
30,49.69
50,50.21
20,32.47
20,47.98
50,52.86
40,45.65
20,42.26
10,37.89
10,46.04
10,36.94
30,50.98
30,46.42
20,43.74
40,48.65
40,54.73
40,56.81
50,47.80
20,38.93
30,51.11
10,41.79
30,42.16
50,47.33
30,47.56
10,43.77
10,31.48
20,51.09
40,53.21
10,36.05
40,55.12
50,52.72
20,32.85
20,44.36
50,53.09
40,53.51
30,46.17
10,35.94
50,56.59
40,48.10
50,53.18
30,43.22
40,44.66
40,51.41
30,48.47
20,42.61
50,47.76
30,50.04
20,45.08
10,37.41
10,32.63
20,49.10
30,43.21
10,33.14
50,52.71
20,41.76
40,55.18
50,51.95
30,50.08
30,48.53
40,53.22
20,46.92
30,44.82
10,29.57
20,44.19
10,37.83
20,50.23
50,50.44
50,56.49
40,49.63
50,54.59
40,49.84
10,43.32
50,56.68
40,51.04
10,44.15
30,45.74
30,47.45
40,46.69
20,41.33
20,37.71
10,35.38
40,49.85
50,50.84
10,35.46
30,49.17
10,28.43
30,49.60
50,53.17
20,45.46
50,53.27
50,51.44
40,53.25
20,39.04
30,47.39
40,51.61
30,51.33
40,50.52
10,46.86
40,52.46
50,49.89
20,47.00
20,50.62
10,37.45
10,39.42
20,40.09
30,42.03
10,43.86
50,57.88
40,52.35
50,55.27
30,45.26
20,46.98
20,48.10
40,52.90
40,53.63
30,51.51
50,54.32
40,48.93
50,49.20
10,36.61
30,51.19
20,44.26
20,35.26
30,46.27
10,37.05
50,52.66
50,52.39
10,36.26
20,44.54
40,50.47
30,52.82
10,32.32
50,52.92
20,42.78
30,53.37
10,34.48
30,51.63
10,43.20
40,52.63
20,47.66
50,53.01
20,39.88
40,53.68
30,44.01
40,53.19
20,50.26
50,54.52
50,47.06
30,45.55
10,41.62
10,32.94
10,47.43
40,52.35
30,50.90
40,54.63
20,38.11
50,48.72
40,46.88
20,41.55
30,51.96
30,47.28
40,52.60
20,51.30
10,43.75
10,43.80
10,40.03
20,32.90
30,49.24
40,49.06
50,49.24
50,53.64
10,35.31
30,53.78
50,48.00
50,51.38
40,52.98
20,53.93
10,33.96
40,46.08
50,52.79
20,51.31
30,41.54
10,37.43
50,52.94
20,46.08
30,46.04
20,45.61
10,39.53
40,54.47
30,55.43
40,51.39
20,39.38
30,50.65
50,50.51
40,54.61
10,45.68
30,46.88
50,55.65
40,48.14
50,58.27
20,48.75
10,36.05
30,47.43
20,40.40
40,43.09
50,50.70
50,55.57
30,51.52
20,48.88
50,51.58
50,54.57
10,46.94
10,47.72
20,52.13
40,46.14
20,46.33
30,39.58
30,46.97
10,38.08
30,49.06
10,45.45
40,51.93
40,53.70
40,50.05
10,38.36
30,48.00
40,56.25
10,43.10
10,36.96
20,45.78
40,55.00
20,49.28
30,49.37
50,52.61
40,50.76
20,45.66
50,50.94
20,52.94
30,52.97
50,52.82
40,51.15
10,30.70
50,53.83
50,56.44
10,34.64
30,44.11
30,51.96
10,42.76
40,57.65
20,50.92
30,50.53
30,44.70
10,43.99
40,45.19
20,37.71
30,49.21
20,44.72
10,37.54
50,49.76
50,48.27
20,47.94
40,49.08
20,39.21
50,55.28
40,53.15
10,43.26
40,54.85
10,45.98
50,53.39
30,51.24
20,41.75
50,53.42
10,29.14
40,53.23
30,47.67
10,33.78
50,49.77
20,45.16
20,45.02
40,48.64
30,47.10
50,51.43
50,50.95
10,43.60
30,52.14
30,51.83
40,51.48
50,53.30
30,50.37
20,49.06
40,53.55
10,35.71
10,37.92
20,53.53
20,51.12
40,44.66
30,51.66
50,49.03
30,43.57
20,47.19
40,53.68
50,52.85
40,49.46
40,46.69
30,46.63
50,51.67
10,39.77
10,36.02
30,51.78
20,43.33
40,47.85
50,49.66
20,51.39
10,32.23
40,52.55
20,43.71
10,50.09
50,53.96
10,49.90
50,48.95
30,40.31
30,48.80
40,46.66
20,36.27
10,42.35
20,47.49
10,39.26
50,51.10
20,48.08
50,55.37
30,52.30
40,46.81
20,46.31
30,52.58
30,50.43
10,46.63
10,35.63
40,54.79
50,54.40
40,45.64
30,49.69
10,47.21
50,54.32
50,54.01
10,39.17
30,51.88
20,50.48
40,53.08
10,45.48
30,40.63
50,54.57
20,46.34
20,47.53
50,55.25
40,54.06
40,52.16
20,38.52
40,47.42
10,40.61
10,32.36
20,47.48
30,42.16
30,49.34
40,53.79
40,49.82
50,53.85
50,53.58
30,51.60
20,40.07
50,54.43
50,51.02
40,56.35
10,39.37
20,42.96
