Number of labels,Accuracy
40,43.90
50,59.51
30,45.73
40,60.76
50,53.05
30,39.05
50,51.17
20,22.56
30,29.08
20,30.74
20,20.77
10,28.17
50,61.41
10,37.90
40,41.42
20,25.25
10,10.90
40,57.02
30,24.15
20,34.46
10,10.28
40,49.59
10,10.36
50,65.08
30,43.53
40,48.95
30,36.69
20,26.18
50,67.92
20,36.28
10,31.01
20,34.09
30,29.47
40,48.10
30,19.78
10,17.37
50,61.49
10,12.12
40,56.26
50,46.79
30,50.84
10,10.95
10,22.41
30,57.81
40,51.77
20,30.02
50,62.79
50,58.61
10,26.82
30,40.77
20,30.98
40,52.63
50,49.54
20,22.00
40,39.64
10,29.73
50,61.81
20,40.06
30,38.98
40,52.26
10,19.80
30,37.97
50,49.38
20,40.14
10,14.11
50,63.25
50,48.28
40,40.44
40,49.87
20,27.62
30,55.73
20,37.66
40,60.14
10,14.88
30,39.21
10,24.51
30,56.37
50,59.01
10,16.85
30,42.25
40,53.56
20,32.92
20,29.60
20,45.54
40,49.78
50,71.69
20,35.76
30,50.74
40,55.06
10,20.86
10,12.71
50,59.95
10,33.03
30,54.30
50,57.94
50,64.28
40,64.72
30,39.95
40,57.09
10,12.08
40,48.08
20,32.01
20,38.75
50,54.96
30,52.02
20,30.56
30,52.63
30,33.79
40,52.13
10,14.45
40,51.78
40,54.58
50,55.46
20,34.59
10,19.25
30,32.34
20,41.88
50,57.44
50,60.29
30,42.39
10,17.79
50,46.91
40,50.76
10,22.49
30,45.29
10,10.80
40,42.12
50,53.74
20,16.71
20,23.44
40,34.37
10,12.40
20,39.14
50,52.44
30,44.37
20,15.34
40,57.18
30,38.11
10,19.51
10,16.52
20,31.03
20,31.27
50,44.40
20,38.16
50,45.37
50,53.15
30,47.72
40,48.62
30,27.59
40,54.11
10,22.01
30,40.84
50,67.75
10,27.98
50,55.73
30,51.80
20,31.69
40,52.00
40,40.42
40,47.52
40,56.66
20,14.83
10,27.40
20,24.91
30,52.69
50,52.09
10,10.77
50,46.04
30,37.08
10,20.59
10,23.42
50,49.82
30,50.09
20,26.48
30,51.89
50,67.26
40,52.32
20,21.08
40,55.68
40,58.90
10,35.59
20,41.06
50,59.48
10,15.44
30,46.15
10,21.72
50,53.32
50,66.86
20,34.43
40,47.11
30,40.44
10,10.71
20,40.90
10,21.58
40,53.30
30,37.52
30,55.68
30,61.63
50,58.77
20,42.08
20,25.63
20,40.93
40,54.73
20,42.91
40,53.65
30,44.81
10,27.76
50,64.64
50,50.81
10,22.65
40,55.88
30,44.68
10,12.55
40,52.84
40,49.35
50,65.49
30,44.41
40,51.62
50,56.99
20,30.37
20,34.26
10,10.38
30,42.98
20,22.32
30,56.56
10,26.33
50,56.61
10,11.45
40,59.49
40,58.73
50,60.32
10,25.79
50,64.90
20,51.44
30,47.20
30,50.02
50,49.15
40,47.18
20,32.38
20,33.14
40,54.38
30,29.37
10,11.26
30,49.36
10,11.84
10,28.71
20,31.82
50,59.34
40,51.14
50,61.15
20,25.06
30,43.83
40,61.28
50,57.38
10,11.20
20,35.25
10,26.03
50,63.13
30,33.08
30,46.84
40,47.93
50,60.10
20,36.16
40,54.12
10,20.75
10,13.52
20,22.51
40,54.29
50,53.47
10,20.56
50,66.29
20,29.73
10,14.51
30,36.64
30,40.42
40,55.91
50,59.19
40,58.44
20,39.44
30,35.45
50,55.65
30,47.69
20,28.60
10,10.48
40,42.48
50,47.73
30,47.24
50,50.89
10,21.70
20,27.34
30,50.51
40,50.73
40,52.95
10,21.37
10,15.21
20,28.34
40,53.44
30,36.46
50,62.55
30,44.75
20,35.53
10,24.69
10,12.01
40,58.23
20,39.47
30,52.09
50,66.40
30,41.08
20,27.32
40,55.85
20,29.46
50,54.91
40,57.72
10,21.63
10,12.30
20,35.88
40,55.68
50,42.12
30,50.81
50,55.31
20,39.46
30,36.98
10,24.57
40,50.22
50,62.27
40,59.74
10,10.48
50,51.29
50,58.42
50,48.03
30,52.23
40,48.01
20,47.98
10,11.12
30,39.11
20,51.17
20,36.88
30,55.76
10,34.00
40,68.87
40,47.88
20,16.95
20,25.57
30,48.86
10,11.92
30,43.76
50,68.95
50,47.37
20,51.74
40,57.19
30,47.74
10,26.69
50,70.09
40,47.46
30,37.84
10,29.73
10,20.20
50,56.35
10,10.10
20,31.05
20,22.56
40,44.16
30,48.58
40,51.41
50,56.07
10,12.38
30,42.66
40,55.49
50,71.06
20,40.76
40,58.65
50,64.25
20,32.71
20,27.62
10,16.15
30,42.31
30,43.29
40,57.69
40,54.30
20,26.90
10,30.53
50,52.82
30,48.38
50,62.95
10,11.64
50,55.93
10,16.47
10,10.45
30,43.22
40,54.04
40,58.64
20,41.30
20,25.66
20,28.34
10,12.60
40,51.80
30,54.99
50,61.62
20,26.98
20,22.77
10,25.96
30,51.86
30,36.52
10,12.56
50,57.59
50,62.07
30,47.46
40,50.68
40,58.47
50,65.58
40,45.45
10,11.68
30,46.74
20,42.59
50,61.24
30,55.31
10,10.94
50,73.53
10,34.77
30,33.69
20,19.34
50,64.54
20,37.09
40,37.59
40,47.30
40,53.01
30,49.44
30,45.34
50,55.53
20,28.99
20,39.55
50,57.64
40,56.01
10,10.67
40,45.59
20,46.51
10,12.52
30,40.86
40,66.52
50,59.37
50,58.66
10,10.35
30,44.45
10,22.16
10,12.18
40,50.36
50,50.24
20,27.81
50,57.72
20,35.78
30,57.60
10,22.94
20,30.66
10,11.15
30,27.70
30,39.24
50,58.36
20,32.26
30,58.94
40,42.44
10,10.12
50,52.98
40,50.98
10,15.77
50,56.63
20,22.52
20,44.87
40,49.85
40,55.26
30,15.14
30,44.81
40,50.92
20,19.20
10,28.84
30,49.92
40,46.69
50,65.25
20,26.35
50,58.28
40,39.47
20,35.94
30,48.70
50,45.87
20,40.55
40,57.45
10,24.04
50,66.52
30,47.31
20,34.26
10,13.91
10,12.47
30,49.65
10,11.45
30,37.15
40,44.54
20,47.23
50,64.01
10,15.05
50,55.13
40,63.41
