Number of labels,Accuracy
40,69.95
20,62.94
10,66.15
10,62.44
30,65.69
10,65.75
20,61.14
50,70.00
30,67.71
30,72.06
10,57.21
50,67.52
50,71.00
40,70.41
40,75.72
20,64.89
10,59.75
30,70.31
20,62.43
40,71.99
30,71.24
50,71.28
20,65.07
20,61.67
10,63.65
30,70.73
50,71.54
10,58.83
40,69.76
40,74.69
30,70.57
30,59.41
50,72.21
20,62.65
10,60.63
10,55.78
20,64.95
10,59.29
20,57.40
50,73.71
30,70.21
40,70.12
50,69.93
20,69.65
50,72.82
30,67.67
20,64.01
40,71.39
10,58.32
10,59.52
30,66.10
50,73.68
50,71.04
20,72.06
40,70.35
40,73.05
40,71.13
40,65.35
50,71.24
30,64.85
