Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,63.51,65.36,0.00099
30,55.29,65.47,0.00097
30,54.29,63.33,0.00099
30,54.24,62.60,0.00099
50,53.61,69.14,0.00099
40,61.85,70.63,0.00099
20,53.90,59.72,0.00097
10,31.02,53.77,0.00097
40,66.29,69.98,0.00096
40,59.79,67.18,0.00099
20,45.54,62.11,0.00099
50,64.18,70.19,0.00099
50,60.72,68.47,0.00096
10,60.13,63.65,0.00099
30,61.32,64.86,0.00097
10,47.64,52.26,0.00099
20,54.86,61.96,0.00099
10,50.41,68.01,0.00097
40,64.91,66.84,0.00099
20,50.92,60.38,0.00099
30,61.85,70.52,0.00099
20,52.47,61.55,0.00097
10,55.20,62.67,0.00099
40,56.89,69.96,0.00099
10,47.54,55.52,0.00097
40,54.97,69.57,0.00099
10,52.46,60.63,0.00099
10,41.94,55.30,0.00096
20,57.49,62.63,0.00097
20,56.73,65.22,0.00097
20,49.33,58.63,0.00099
30,59.53,67.31,0.00099
50,61.92,66.70,0.00096
40,55.46,67.85,0.00099
30,55.42,60.18,0.00099
50,50.97,64.57,0.00097
30,53.59,65.54,0.00099
50,59.95,68.40,0.00096
40,59.83,69.75,0.00099
50,62.27,69.87,0.00099
20,47.38,57.77,0.00099
10,45.53,61.56,0.00099
40,51.84,64.10,0.00099
30,59.53,68.23,0.00099
30,53.78,66.71,0.00099
10,44.98,58.37,0.00097
10,50.02,60.24,0.00097
50,60.39,67.11,0.00096
20,60.32,69.31,0.00099
40,60.72,67.43,0.00099
50,63.70,67.06,0.00099
10,41.89,48.35,0.00097
50,67.12,70.06,0.00097
20,53.93,62.68,0.00099
20,55.36,64.45,0.00099
30,50.22,62.62,0.00099
50,57.62,69.29,0.00099
40,58.25,66.72,0.00099
40,59.62,65.40,0.00097
30,62.58,67.78,0.00099
20,45.30,62.10,0.00099
40,57.35,66.34,0.00097
30,56.70,66.74,0.00099
30,58.82,66.48,0.00097
20,48.46,64.49,0.00099
10,37.34,59.61,0.00099
50,62.78,67.47,0.00099
40,63.17,67.25,0.00099
50,58.15,66.01,0.00097
10,47.33,55.43,0.00099
20,49.61,60.26,0.00099
10,41.09,61.34,0.00099
30,50.27,57.04,0.00099
40,56.42,65.18,0.00099
10,51.11,56.35,0.00099
40,61.29,71.02,0.00097
30,57.84,68.63,0.00097
50,57.53,69.88,0.00099
20,57.41,64.76,0.00099
50,56.32,68.41,0.00099
10,41.57,54.76,0.00097
50,63.23,69.06,0.00099
30,53.25,56.77,0.00099
20,57.64,58.54,0.00099
20,48.81,60.85,0.00099
50,62.20,70.05,0.00099
10,42.40,64.02,0.00099
30,63.17,71.13,0.00099
30,56.81,67.55,0.00097
10,45.49,63.03,0.00099
20,48.04,60.61,0.00099
40,49.11,56.76,0.00097
40,64.91,63.22,0.00099
10,45.31,59.39,0.00099
40,63.53,70.78,0.00099
50,55.88,62.82,0.00099
50,66.14,70.45,0.00097
30,57.85,67.34,0.00099
20,54.64,63.96,0.00099
40,61.72,69.73,0.00099
10,45.27,59.89,0.00099
20,47.54,61.04,0.00097
30,51.82,62.33,0.00099
10,37.40,49.10,0.00099
50,46.58,52.78,0.00099
30,56.36,66.41,0.00099
10,48.60,59.23,0.00094
40,64.31,72.17,0.00099
50,58.89,64.97,0.00097
50,60.83,67.95,0.00099
20,54.86,62.01,0.00099
40,59.86,71.84,0.00099
40,52.35,63.98,0.00099
30,55.43,60.51,0.00099
30,60.97,67.62,0.00099
20,48.49,63.96,0.00099
40,58.48,68.07,0.00099
20,50.25,59.31,0.00099
10,49.34,59.00,0.00099
50,63.73,70.66,0.00097
10,40.22,47.71,0.00099
20,57.83,65.64,0.00099
30,65.69,70.98,0.00099
20,50.61,56.67,0.00097
30,56.05,63.67,0.00099
40,48.66,63.75,0.00099
10,37.92,48.74,0.00099
50,57.49,65.28,0.00099
40,59.55,70.54,0.00099
30,51.58,58.90,0.00099
50,53.24,65.26,0.00099
20,57.34,65.25,0.00099
50,62.21,71.98,0.00099
10,46.14,57.45,0.00099
40,57.78,63.70,0.00099
20,49.99,65.04,0.00099
30,53.60,62.49,0.00097
50,64.23,69.71,0.00099
40,53.69,64.50,0.00099
10,39.30,55.46,0.00099
10,42.33,60.81,0.00099
20,58.57,63.63,0.00099
