Number of labels,Accuracy
10,11.51
10,11.46
40,53.51
10,12.66
20,45.98
20,37.87
30,17.95
30,37.32
10,21.00
30,31.71
50,71.08
20,41.28
50,56.48
30,33.04
50,64.57
40,63.25
40,59.92
20,34.38
40,50.08
50,69.01
20,27.53
10,20.14
30,42.39
20,35.18
30,33.68
50,42.80
50,64.64
10,12.29
40,57.95
40,72.51
40,39.76
10,10.15
10,29.53
20,38.88
50,58.97
20,24.77
30,54.32
40,68.53
20,20.88
50,90.58
30,68.22
10,11.32
50,56.90
20,30.69
30,39.36
40,59.24
30,25.56
20,12.89
30,33.92
40,44.23
10,10.10
50,64.78
50,63.50
20,21.80
10,10.35
30,26.20
10,10.65
50,65.03
40,38.47
40,57.67
