Number of labels,Accuracy
30,95.16
10,91.22
40,95.62
10,92.56
10,94.86
40,95.27
50,95.94
30,95.07
20,92.49
50,95.98
50,94.96
40,95.18
50,95.54
20,94.23
40,95.39
10,90.99
20,91.90
20,94.56
30,94.80
30,92.57
50,96.23
10,82.24
40,92.67
40,95.42
10,91.77
10,93.06
50,95.69
30,95.41
10,91.69
20,95.56
30,95.07
30,93.70
20,94.16
50,95.60
20,95.72
50,95.23
40,94.92
10,92.01
20,90.90
30,94.84
40,95.08
20,94.92
30,95.38
30,95.30
10,85.56
20,95.02
10,86.10
20,93.40
10,86.35
40,94.28
50,94.16
40,95.37
40,94.22
50,95.48
20,95.69
50,95.59
40,95.08
30,94.58
30,94.29
50,95.29
