Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,36.99,60.46,0.00099
10,50.25,81.53,0.00097
50,66.85,83.34,0.00099
20,53.48,76.91,0.00099
30,69.84,84.04,0.00099
10,51.10,83.01,0.00099
10,52.26,84.23,0.00096
20,64.63,86.79,0.00099
40,69.72,86.48,0.00099
30,61.84,83.73,0.00099
20,60.02,77.10,0.00099
20,60.88,83.89,0.00097
40,60.21,82.72,0.00099
50,66.11,86.08,0.00099
10,48.64,81.76,0.00099
50,68.83,86.92,0.00099
40,68.12,85.22,0.00099
20,56.24,85.04,0.00099
40,64.33,85.68,0.00099
10,39.81,66.94,0.00099
40,71.88,85.85,0.00099
30,62.63,85.20,0.00099
10,52.86,75.49,0.00099
20,56.28,80.55,0.00097
30,59.76,80.63,0.00099
30,68.43,86.14,0.00099
20,49.22,83.04,0.00099
50,67.23,83.94,0.00099
30,58.57,80.04,0.00099
50,69.29,86.31,0.00099
40,66.67,80.50,0.00097
40,65.61,83.25,0.00099
20,54.64,78.48,0.00097
10,54.30,79.68,0.00099
50,71.53,87.68,0.00099
30,54.46,81.91,0.00099
50,67.90,85.61,0.00099
40,66.12,87.23,0.00099
40,58.84,86.67,0.00099
10,37.38,75.50,0.00099
20,55.19,73.52,0.00099
50,67.13,86.53,0.00099
50,66.73,88.31,0.00099
30,62.22,84.46,0.00099
40,68.81,86.58,0.00099
20,52.07,82.11,0.00099
30,58.30,80.24,0.00099
10,32.33,66.42,0.00099
30,57.56,86.99,0.00099
20,54.53,79.01,0.00099
30,65.97,78.54,0.00097
10,51.45,61.00,0.00094
10,58.10,79.62,0.00097
40,69.16,85.58,0.00099
20,54.16,83.54,0.00099
10,48.37,71.16,0.00099
50,70.91,88.01,0.00099
30,62.93,85.84,0.00099
50,68.07,86.49,0.00099
50,65.83,82.26,0.00099
10,41.24,74.79,0.00099
20,57.25,76.52,0.00097
20,52.49,78.04,0.00099
30,59.43,79.23,0.00099
40,69.85,84.69,0.00099
10,46.93,77.96,0.00099
30,57.61,79.29,0.00097
30,58.32,76.95,0.00096
20,56.70,84.09,0.00099
30,60.43,85.72,0.00099
20,62.98,80.75,0.00099
40,66.03,85.01,0.00099
20,60.02,78.46,0.00097
10,50.80,81.15,0.00099
10,49.33,76.91,0.00099
30,59.83,81.06,0.00099
50,72.07,88.38,0.00099
40,61.29,84.69,0.00099
50,71.70,84.91,0.00099
10,55.76,84.39,0.00099
30,64.94,84.22,0.00097
50,70.03,87.68,0.00099
50,70.39,83.31,0.00099
10,55.37,79.65,0.00099
50,72.71,88.15,0.00099
10,45.38,79.05,0.00099
20,47.30,84.02,0.00099
40,69.40,87.57,0.00099
40,67.60,87.61,0.00097
40,66.77,85.79,0.00099
20,60.85,80.80,0.00099
40,65.38,83.37,0.00099
30,64.59,84.54,0.00099
20,55.04,82.77,0.00099
50,72.31,88.60,0.00099
50,71.20,86.33,0.00099
10,44.24,71.03,0.00099
30,64.48,83.24,0.00099
50,63.94,82.22,0.00097
40,70.26,85.90,0.00099
40,66.50,87.78,0.00099
20,53.37,81.66,0.00099
10,44.79,75.73,0.00099
50,70.76,87.92,0.00099
10,55.53,76.61,0.00099
30,64.03,85.98,0.00099
20,51.37,81.43,0.00099
30,57.14,77.60,0.00099
10,56.01,70.85,0.00099
40,60.73,81.00,0.00099
50,70.82,87.48,0.00099
20,51.80,77.60,0.00099
40,69.54,86.82,0.00099
50,60.68,81.41,0.00099
40,64.59,85.97,0.00099
20,57.41,82.83,0.00099
30,67.61,82.51,0.00099
10,39.99,78.29,0.00099
30,64.82,86.19,0.00099
50,69.02,83.01,0.00099
50,64.31,81.25,0.00097
10,40.00,74.40,0.00099
10,54.99,74.30,0.00096
20,52.73,80.47,0.00097
20,57.18,77.11,0.00099
10,40.45,75.96,0.00097
30,69.67,88.31,0.00099
30,57.09,79.55,0.00099
40,62.97,77.49,0.00099
40,67.28,86.01,0.00099
50,73.08,84.12,0.00099
30,61.41,84.52,0.00099
10,50.50,78.51,0.00099
30,59.42,78.81,0.00099
50,64.63,80.39,0.00099
40,70.45,86.33,0.00097
20,50.91,79.65,0.00099
30,55.81,82.57,0.00099
50,66.09,87.20,0.00099
20,52.73,79.32,0.00099
30,67.22,83.54,0.00099
40,73.37,87.62,0.00097
20,62.25,83.59,0.00099
40,63.69,83.87,0.00099
40,71.34,87.72,0.00099
20,54.55,82.73,0.00099
10,48.59,69.21,0.00099
10,46.81,79.40,0.00099
20,58.46,79.50,0.00099
10,43.94,74.82,0.00099
40,64.41,85.38,0.00099
40,65.17,85.90,0.00099
50,73.02,88.33,0.00099
10,47.29,71.71,0.00097
30,69.01,82.27,0.00094
20,53.87,68.63,0.00099
50,69.22,88.85,0.00099
20,58.82,84.50,0.00099
20,62.43,85.97,0.00099
50,62.15,85.29,0.00097
10,36.68,61.94,0.00097
40,69.35,87.53,0.00099
10,58.35,73.90,0.00099
40,64.25,84.03,0.00099
40,64.93,83.23,0.00099
50,62.81,82.22,0.00099
10,54.90,76.74,0.00099
50,71.43,87.52,0.00097
20,50.79,78.87,0.00099
30,62.18,84.58,0.00099
10,43.23,69.12,0.00099
30,62.35,69.45,0.00099
30,62.79,85.07,0.00099
30,63.85,87.25,0.00099
50,67.77,84.79,0.00099
50,64.10,83.06,0.00099
20,57.82,74.74,0.00099
40,67.18,86.45,0.00099
30,56.82,84.64,0.00099
50,68.78,87.73,0.00099
40,65.11,86.49,0.00099
30,63.45,83.12,0.00099
50,64.16,84.06,0.00099
20,60.41,84.57,0.00097
30,62.36,85.37,0.00097
30,67.39,78.94,0.00099
10,56.06,78.00,0.00097
20,52.74,84.24,0.00099
10,56.05,83.39,0.00099
40,65.48,84.58,0.00099
20,67.00,79.32,0.00096
50,70.69,87.92,0.00099
20,67.93,78.92,0.00099
10,35.11,78.26,0.00099
50,68.32,86.75,0.00097
40,62.52,87.11,0.00099
10,37.43,71.08,0.00097
40,60.34,81.14,0.00097
50,69.45,82.60,0.00099
10,58.48,78.42,0.00099
10,49.99,72.58,0.00099
40,69.65,85.51,0.00099
40,56.85,75.87,0.00097
50,72.07,84.13,0.00099
20,58.84,80.02,0.00099
20,51.94,84.35,0.00099
40,64.12,84.31,0.00099
30,54.26,77.85,0.00099
20,65.72,84.92,0.00099
40,66.45,87.49,0.00099
50,72.04,88.56,0.00097
20,50.36,82.93,0.00099
40,65.04,84.12,0.00099
10,41.64,73.75,0.00099
50,70.16,85.92,0.00099
10,33.09,65.38,0.00097
50,69.20,87.61,0.00099
10,49.08,79.72,0.00099
10,55.77,80.11,0.00096
20,58.89,83.58,0.00099
30,63.85,80.09,0.00097
30,59.53,84.14,0.00099
30,61.39,85.17,0.00097
20,61.80,77.73,0.00099
20,62.02,80.28,0.00099
50,72.80,86.25,0.00099
10,51.14,75.86,0.00097
20,59.02,80.16,0.00099
30,61.86,87.29,0.00099
30,60.07,83.43,0.00099
30,67.19,87.66,0.00099
50,68.51,85.52,0.00099
20,64.27,80.96,0.00096
10,38.85,62.71,0.00099
10,46.26,70.50,0.00097
