Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,51.14,91.89,0.00099
50,84.10,94.88,0.00099
50,86.97,95.84,0.00099
40,78.69,96.20,0.00099
10,60.55,95.24,0.00099
40,87.67,95.47,0.00099
30,79.36,94.18,0.00099
20,67.70,93.27,0.00099
20,75.93,95.98,0.00099
50,83.62,96.21,0.00099
10,61.78,94.31,0.00099
40,83.91,96.39,0.00099
30,79.69,95.19,0.00099
30,84.10,95.70,0.00099
10,61.49,95.20,0.00099
20,69.74,96.25,0.00099
40,75.08,96.03,0.00099
20,78.03,93.36,0.00099
50,83.84,96.25,0.00099
30,76.16,94.68,0.00097
30,69.56,90.93,0.00099
10,45.44,84.20,0.00099
20,73.94,95.88,0.00099
50,83.55,96.48,0.00099
20,75.71,95.53,0.00099
40,87.27,96.20,0.00099
50,85.97,95.78,0.00099
20,56.24,94.91,0.00099
10,51.68,93.76,0.00099
10,65.28,93.27,0.00099
50,86.69,96.19,0.00099
40,79.92,95.39,0.00099
30,76.52,95.16,0.00099
30,71.02,95.14,0.00099
10,54.22,94.68,0.00099
20,66.96,95.30,0.00099
40,73.74,95.16,0.00099
30,78.29,95.66,0.00099
40,85.33,96.02,0.00099
50,82.16,95.50,0.00099
10,67.99,95.03,0.00099
40,76.69,92.13,0.00099
20,69.06,94.18,0.00099
20,72.59,94.60,0.00099
50,77.52,95.59,0.00099
30,67.98,95.16,0.00099
20,69.01,88.49,0.00099
40,79.92,94.13,0.00099
10,51.05,91.54,0.00099
40,83.61,96.31,0.00099
20,67.70,95.73,0.00099
30,79.93,96.29,0.00099
50,86.89,96.15,0.00099
50,84.63,96.03,0.00097
50,82.79,94.29,0.00099
10,48.61,91.99,0.00099
30,73.57,96.33,0.00099
30,75.34,95.05,0.00099
10,40.02,94.09,0.00099
40,76.67,94.92,0.00099
30,81.54,93.90,0.00099
10,71.80,93.81,0.00099
20,57.59,94.62,0.00099
10,64.54,81.92,0.00099
20,74.57,94.16,0.00099
40,83.78,95.15,0.00099
30,69.05,95.62,0.00099
30,72.50,92.81,0.00099
40,84.72,96.15,0.00099
30,78.17,93.89,0.00097
10,58.73,95.94,0.00099
50,80.01,91.24,0.00099
50,90.21,95.75,0.00099
20,68.52,95.88,0.00099
20,73.19,94.42,0.00099
10,63.09,95.71,0.00097
50,86.61,96.09,0.00099
50,88.16,95.81,0.00097
20,78.19,95.18,0.00097
40,84.77,96.04,0.00099
10,56.86,95.07,0.00099
40,82.74,96.08,0.00099
40,88.12,95.86,0.00099
30,72.25,93.26,0.00097
50,91.55,96.39,0.00099
10,60.39,94.53,0.00099
30,74.78,95.15,0.00099
50,85.67,95.41,0.00099
20,68.06,94.59,0.00097
40,76.16,95.93,0.00099
30,80.70,95.52,0.00099
50,87.33,96.40,0.00099
10,52.63,95.17,0.00099
40,88.18,95.79,0.00099
10,62.82,94.57,0.00099
40,90.84,95.95,0.00099
20,74.91,95.29,0.00099
20,70.29,95.46,0.00099
30,64.48,90.70,0.00099
10,63.52,94.06,0.00099
20,68.41,93.88,0.00099
40,81.09,94.89,0.00097
50,82.06,95.81,0.00099
30,78.74,96.16,0.00099
50,82.79,95.53,0.00099
10,58.93,94.00,0.00099
10,67.46,94.41,0.00099
30,82.77,95.46,0.00099
20,64.57,95.25,0.00099
40,82.83,95.52,0.00099
50,85.20,95.70,0.00099
10,67.78,87.30,0.00099
40,77.88,95.97,0.00099
40,77.02,94.26,0.00099
20,69.06,94.14,0.00099
10,55.72,94.92,0.00099
30,89.52,96.44,0.00099
30,78.61,94.90,0.00099
20,76.20,94.62,0.00099
50,77.19,95.54,0.00099
50,85.18,94.25,0.00099
30,82.45,94.81,0.00099
20,76.64,95.39,0.00099
30,85.39,96.61,0.00099
40,81.57,95.53,0.00099
10,63.05,91.52,0.00099
20,62.77,93.80,0.00099
50,90.15,95.55,0.00099
50,79.37,94.66,0.00099
20,69.08,94.00,0.00099
40,77.30,95.84,0.00099
10,61.01,94.52,0.00099
20,56.50,93.86,0.00099
30,72.04,94.36,0.00099
40,88.65,95.86,0.00099
10,58.45,94.10,0.00099
40,84.79,96.55,0.00099
50,88.29,95.90,0.00099
30,67.26,95.91,0.00099
50,90.08,95.74,0.00099
10,65.32,92.38,0.00099
30,69.49,94.18,0.00099
40,83.12,96.28,0.00099
50,84.93,94.02,0.00099
20,68.11,95.07,0.00099
30,80.23,95.64,0.00099
20,84.55,95.83,0.00099
10,54.74,93.36,0.00099
40,86.65,95.89,0.00099
10,60.78,89.56,0.00099
20,80.60,95.43,0.00099
10,67.32,94.81,0.00099
40,86.48,96.18,0.00099
50,87.00,96.29,0.00097
30,73.84,95.03,0.00099
50,81.82,94.64,0.00099
40,81.39,95.77,0.00099
20,68.12,94.21,0.00099
30,77.36,95.55,0.00099
