Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,41.52,41.16,0.00097
20,36.77,36.83,0.00090
10,26.50,30.35,0.00092
40,38.76,39.12,0.00095
20,32.21,31.92,0.00093
40,37.18,37.08,0.00098
40,42.59,43.57,0.00097
30,40.72,39.54,0.00098
50,41.83,40.90,0.00092
10,34.51,32.88,0.00095
40,39.83,38.73,0.00093
30,39.30,38.84,0.00098
30,35.85,37.42,0.00095
30,41.87,41.85,0.00098
20,35.91,36.64,0.00095
50,46.11,46.09,0.00098
20,33.40,34.81,0.00097
20,37.53,37.91,0.00098
10,31.30,32.78,0.00098
50,38.77,38.59,0.00098
10,37.36,38.49,0.00097
30,42.69,42.59,0.00093
10,32.14,34.30,0.00097
20,27.89,29.85,0.00098
40,39.11,39.41,0.00095
10,21.28,23.68,0.00098
40,40.60,41.20,0.00098
10,32.86,34.37,0.00098
50,36.87,36.73,0.00098
10,24.49,29.28,0.00095
30,39.36,38.33,0.00097
30,37.78,37.87,0.00095
50,40.40,39.96,0.00097
40,38.77,39.09,0.00093
20,33.62,32.68,0.00097
50,41.57,41.33,0.00098
40,40.63,40.04,0.00098
50,43.88,44.01,0.00098
40,43.61,43.84,0.00097
10,24.35,23.84,0.00098
30,38.07,38.60,0.00098
30,35.05,34.99,0.00097
20,40.87,44.98,0.00098
50,38.80,39.47,0.00093
20,28.91,32.28,0.00020
20,34.35,33.83,0.00097
10,26.80,24.12,0.00097
30,38.33,37.92,0.00098
50,36.81,36.71,0.00098
30,34.42,35.57,0.00098
20,33.75,38.94,0.00095
20,38.67,39.69,0.00092
10,37.16,37.94,0.00097
40,36.37,35.27,0.00092
10,29.40,30.87,0.00097
30,33.00,34.46,0.00095
40,40.35,39.82,0.00098
50,38.43,39.15,0.00097
40,37.60,35.92,0.00097
50,42.97,42.62,0.00098
