Number of labels,Accuracy
50,51.41
30,52.35
50,53.18
40,53.47
10,40.91
40,52.65
40,48.73
10,30.39
20,47.15
30,53.70
20,48.78
40,51.82
20,47.59
30,55.09
10,52.32
10,42.19
30,52.63
20,48.01
50,52.10
50,58.49
20,38.10
10,46.31
50,57.01
10,32.84
20,54.01
30,50.35
10,45.17
30,53.32
40,52.17
30,49.24
20,56.05
50,51.02
10,28.56
10,39.31
40,55.74
40,52.75
50,54.71
40,58.14
20,44.44
30,50.52
40,54.28
20,42.17
20,48.82
30,48.99
50,54.56
40,55.57
10,48.44
50,57.42
30,49.95
30,45.71
10,30.64
50,49.49
20,47.74
10,38.54
50,57.63
20,51.16
40,50.61
50,50.92
30,49.38
40,48.26
