Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,49.34,49.72,0.00097
40,56.08,57.69,0.00099
10,42.46,44.37,0.00099
30,56.02,57.25,0.00099
10,43.11,43.70,0.00097
50,56.03,56.31,0.00097
50,55.72,55.76,0.00099
40,59.69,59.90,0.00099
40,54.60,55.68,0.00099
10,53.62,54.78,0.00099
20,46.65,47.53,0.00099
20,51.81,52.20,0.00099
10,48.12,50.01,0.00097
20,49.18,49.92,0.00091
10,47.80,46.57,0.00099
30,49.20,50.91,0.00099
20,48.05,49.10,0.00097
50,56.94,57.70,0.00099
40,53.84,55.23,0.00099
30,54.08,57.23,0.00097
40,54.69,55.76,0.00097
30,56.99,57.26,0.00091
10,48.47,49.50,0.00093
20,48.93,49.77,0.00097
30,55.26,56.16,0.00097
50,57.74,58.95,0.00099
40,56.20,57.68,0.00097
40,54.55,54.89,0.00099
50,57.58,58.02,0.00099
30,50.65,50.05,0.00099
10,43.40,42.44,0.00099
10,44.77,45.57,0.00096
20,39.19,41.95,0.00096
10,45.59,46.14,0.00093
30,57.36,57.99,0.00099
50,56.47,57.46,0.00093
40,57.80,57.99,0.00099
20,55.05,54.06,0.00096
10,46.87,47.13,0.00096
20,50.90,52.17,0.00096
40,58.08,59.30,0.00097
30,53.43,54.08,0.00096
50,58.27,59.31,0.00099
50,55.48,56.27,0.00096
30,55.47,55.64,0.00099
20,48.96,50.90,0.00097
30,51.38,52.01,0.00097
10,37.33,39.24,0.00096
40,53.13,52.29,0.00094
50,58.85,59.16,0.00097
30,54.35,53.30,0.00097
20,53.09,53.16,0.00099
10,39.77,43.13,0.00099
20,54.78,55.49,0.00099
50,58.83,59.22,0.00099
40,52.74,53.81,0.00099
30,54.18,54.72,0.00099
50,58.49,58.33,0.00097
40,59.90,59.48,0.00097
50,59.02,59.25,0.00099
