Number of labels,Accuracy
40,43.90
40,41.42
50,61.41
30,24.15
40,60.76
20,25.25
30,39.05
30,29.08
50,59.51
50,51.17
20,30.74
10,10.90
40,57.02
30,45.73
20,22.56
20,20.77
50,53.05
10,37.90
10,28.17
10,10.28
50,65.08
30,43.53
20,34.46
40,49.59
30,19.78
40,48.95
50,67.92
20,36.28
30,36.69
10,31.01
20,26.18
10,10.95
50,46.79
20,34.09
40,48.10
40,51.77
30,29.47
50,61.49
10,10.36
40,56.26
10,12.12
20,30.02
50,62.79
30,57.81
50,58.61
10,17.37
10,26.82
20,30.98
40,52.63
10,22.41
30,50.84
40,39.64
30,40.77
50,49.54
30,38.98
20,40.06
20,22.00
50,61.81
10,29.73
40,52.26
