Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,54.39,60.57,0.00099
40,65.63,64.68,0.00099
40,68.06,69.80,0.00096
50,65.13,67.35,0.00099
40,63.13,64.93,0.00096
20,54.08,56.85,0.00097
20,57.38,58.82,0.00099
50,66.87,68.65,0.00099
30,60.40,63.44,0.00097
50,63.47,64.31,0.00099
50,66.50,68.83,0.00099
30,64.19,65.64,0.00099
10,62.31,60.01,0.00099
40,70.25,72.39,0.00096
30,60.89,65.35,0.00099
10,53.74,55.48,0.00099
10,44.99,54.75,0.00099
20,53.67,57.28,0.00097
30,60.67,64.29,0.00099
10,56.77,66.71,0.00099
40,67.67,68.84,0.00097
50,63.78,65.71,0.00099
30,66.12,68.44,0.00099
30,64.79,68.73,0.00099
20,59.11,62.17,0.00097
50,65.02,68.67,0.00099
20,55.51,60.44,0.00099
50,61.69,64.51,0.00096
40,63.79,68.65,0.00099
30,59.09,64.88,0.00099
20,56.69,61.03,0.00099
30,58.20,60.26,0.00099
40,61.78,66.57,0.00099
10,55.70,61.89,0.00099
10,54.63,56.64,0.00099
50,64.61,67.17,0.00099
20,59.33,62.94,0.00099
40,67.16,69.66,0.00097
10,58.96,58.15,0.00099
10,47.89,52.13,0.00099
40,63.00,64.79,0.00097
30,63.12,65.33,0.00096
40,60.96,67.50,0.00099
30,66.31,67.32,0.00099
50,63.85,66.03,0.00096
10,53.23,57.23,0.00099
50,66.93,67.11,0.00097
20,48.51,51.39,0.00094
20,54.64,61.60,0.00099
50,68.71,70.05,0.00099
20,65.24,68.90,0.00097
30,64.48,65.35,0.00097
40,67.06,68.04,0.00099
10,58.54,62.68,0.00097
20,60.43,64.37,0.00099
50,65.32,67.15,0.00099
10,53.92,58.19,0.00099
30,57.62,62.57,0.00099
40,63.03,67.77,0.00097
10,46.59,46.77,0.00099
