Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,63.52,66.74,0.00097
10,59.54,60.51,0.00097
30,68.00,68.82,0.00097
20,64.91,67.84,0.00099
10,68.62,69.70,0.00096
30,75.63,75.80,0.00097
20,70.11,72.91,0.00100
10,45.60,50.41,0.00100
30,75.31,76.61,0.00099
50,75.52,76.52,0.00097
20,63.26,66.55,0.00099
50,77.98,78.84,0.00099
50,74.26,74.75,0.00096
40,71.25,73.01,0.00097
30,71.81,72.50,0.00096
20,73.46,75.54,0.00099
40,69.65,72.22,0.00099
40,73.97,74.97,0.00099
10,64.33,67.15,0.00099
40,76.05,78.00,0.00100
50,78.06,80.31,0.00099
30,65.08,66.40,0.00097
40,71.74,73.68,0.00099
20,60.64,63.11,0.00099
10,55.85,60.94,0.00100
20,76.65,78.77,0.00097
10,53.11,56.20,0.00097
10,56.76,57.66,0.00091
40,69.71,70.18,0.00099
20,67.58,73.28,0.00097
40,77.60,78.44,0.00094
50,77.62,79.35,0.00099
30,74.63,77.75,0.00100
40,72.22,74.01,0.00100
20,63.63,64.57,0.00097
30,73.54,77.13,0.00100
10,56.90,64.11,0.00099
50,76.47,78.00,0.00099
30,71.82,75.34,0.00097
20,64.68,67.67,0.00097
30,66.11,67.62,0.00099
50,72.54,74.46,0.00099
10,54.66,58.33,0.00096
40,68.40,69.90,0.00096
20,65.74,66.71,0.00096
50,74.03,76.36,0.00099
40,74.64,74.89,0.00099
50,76.10,78.19,0.00099
10,49.16,51.68,0.00090
20,63.22,65.45,0.00097
10,52.39,54.28,0.00099
30,72.74,75.79,0.00100
50,75.72,76.72,0.00100
50,72.87,74.03,0.00099
30,72.40,73.72,0.00099
20,68.56,70.01,0.00099
30,69.77,71.42,0.00100
40,73.69,76.80,0.00097
50,74.07,76.30,0.00099
40,70.88,72.33,0.00099
