Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,87.58,94.69,0.00099
50,86.39,96.16,0.00099
50,89.08,95.20,0.00099
50,85.18,95.72,0.00099
40,79.54,96.18,0.00099
40,85.85,96.19,0.00099
30,87.06,95.86,0.00099
40,87.95,95.85,0.00099
30,79.05,95.47,0.00099
20,69.09,93.52,0.00099
40,81.48,96.30,0.00099
20,79.67,96.05,0.00099
20,72.93,96.08,0.00099
30,78.22,94.03,0.00099
30,76.98,94.75,0.00097
20,77.55,94.14,0.00099
10,59.20,94.50,0.00099
10,55.55,94.75,0.00099
10,54.38,94.92,0.00099
10,47.38,87.84,0.00099
40,88.38,96.34,0.00097
50,87.35,95.89,0.00099
20,77.04,95.89,0.00099
30,69.09,89.58,0.00097
20,76.83,93.79,0.00099
50,86.88,96.38,0.00099
40,85.28,96.28,0.00099
30,83.32,96.06,0.00099
50,84.74,95.75,0.00099
30,78.00,95.00,0.00099
40,80.25,96.04,0.00099
20,56.36,95.01,0.00099
10,64.78,93.46,0.00099
10,56.15,94.84,0.00099
10,47.41,82.34,0.00097
50,87.98,96.07,0.00099
20,60.51,93.39,0.00099
40,77.71,95.10,0.00099
30,71.44,95.51,0.00099
10,49.74,93.71,0.00099
40,75.20,86.75,0.00099
10,70.02,95.36,0.00099
50,78.43,95.11,0.00099
50,88.56,96.03,0.00099
20,68.97,93.86,0.00099
20,76.48,94.23,0.00099
40,85.18,96.18,0.00099
20,70.66,85.86,0.00099
30,66.80,95.49,0.00099
40,80.98,95.01,0.00099
30,83.27,96.36,0.00099
30,77.80,95.59,0.00099
50,85.39,96.06,0.00099
30,73.20,96.21,0.00097
50,83.83,95.09,0.00099
40,80.74,94.39,0.00099
20,67.35,95.36,0.00099
10,52.05,94.89,0.00099
10,47.55,91.82,0.00099
10,38.58,94.54,0.00099
