Number of labels,Accuracy
20,95.91
20,96.50
20,94.81
50,96.35
20,95.96
10,94.91
10,96.27
30,95.63
30,95.66
10,93.09
40,96.66
10,95.50
40,96.21
40,96.47
30,95.95
50,96.30
30,96.12
40,96.51
50,96.83
10,95.22
50,96.63
30,95.61
10,94.27
20,95.85
20,96.70
40,96.31
30,96.17
50,96.44
30,96.09
20,96.80
30,96.09
10,88.95
30,96.72
40,96.18
20,95.72
50,96.63
10,93.91
40,96.57
40,96.36
20,95.69
10,88.99
50,96.58
40,96.08
50,96.64
10,94.59
50,96.40
20,96.10
10,89.65
30,96.56
30,95.91
50,96.26
20,95.34
40,96.46
10,94.43
30,96.49
40,96.41
20,96.40
50,96.51
50,96.51
40,95.73
